


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
  Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
    48  223.30         2237          1.14            0.10     139.28       1.37 Alligator_TrailingProfitMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
    45  206.75         2237          1.14            0.09     134.18       1.32  Alligator_TrailingProfitMethod=23; MaxOrders=0; MaxOrdersPerType=0;
    46  200.22         2237          1.13            0.09     128.44       1.27 Alligator_TrailingProfitMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
    47  191.20         2237          1.12            0.09     144.36       1.42  Alligator_TrailingProfitMethod=24; MaxOrders=0; MaxOrdersPerType=0;
    42  163.00         2237          1.10            0.07     138.86       1.37 Alligator_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
    41  156.54         2237          1.10            0.07     142.07       1.40  Alligator_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=0;
    26  155.80         2237          1.10            0.07     157.39       1.55 Alligator_TrailingProfitMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
    36  155.80         2237          1.10            0.07     157.39       1.55 Alligator_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
    24  154.94         2237          1.10            0.07     153.49       1.52 Alligator_TrailingProfitMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
    34  146.08         2237          1.09            0.07     154.52       1.53 Alligator_TrailingProfitMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
     2  123.23         2237          1.08            0.06     142.64       1.42  Alligator_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
    23  118.69         2237          1.08            0.05     146.54       1.45  Alligator_TrailingProfitMethod=12; MaxOrders=0; MaxOrdersPerType=0;
    33  118.99         2237          1.08            0.05     147.57       1.46  Alligator_TrailingProfitMethod=17; MaxOrders=0; MaxOrdersPerType=0;
    11  104.89         2237          1.07            0.05     130.83       1.30   Alligator_TrailingProfitMethod=6; MaxOrders=0; MaxOrdersPerType=0;
    25  103.25         2237          1.07            0.05     151.22       1.50  Alligator_TrailingProfitMethod=13; MaxOrders=0; MaxOrdersPerType=0;
    35  103.25         2237          1.07            0.05     151.22       1.50  Alligator_TrailingProfitMethod=18; MaxOrders=0; MaxOrdersPerType=0;
    12   99.92         2237          1.07            0.04     130.83       1.30  Alligator_TrailingProfitMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
     1   96.36         2237          1.07            0.04     131.21       1.30   Alligator_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=0;
    54   95.98         2237          1.07            0.04     124.37       1.23 Alligator_TrailingProfitMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
