


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          82   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=0;
          83   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
          86   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
          87   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=0;
          90   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=0;
          91   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=0;
          94   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=0;
          95   10.91          231          1.13            0.05      29.04       0.29  CCI5_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=0;
          34    3.40            8          2.60            0.42       2.47       0.02 CCI5_SignalMethod=-30; MaxOrders=0; MaxOrdersPerType=0;
          88    1.08          614          1.01            0.00      45.49       0.45  CCI5_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=0;
          92    1.08          614          1.01            0.00      45.49       0.45  CCI5_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=0;
          97    1.26           28          1.15            0.04       7.50       0.07  CCI5_SignalMethod=33; MaxOrders=0; MaxOrdersPerType=0;
         101    1.26           28          1.15            0.04       7.50       0.07  CCI5_SignalMethod=37; MaxOrders=0; MaxOrdersPerType=0;
         113    1.26           28          1.15            0.04       7.50       0.07  CCI5_SignalMethod=49; MaxOrders=0; MaxOrdersPerType=0;
         117    1.26           28          1.15            0.04       7.50       0.07  CCI5_SignalMethod=53; MaxOrders=0; MaxOrdersPerType=0;
          89    1.35          613          1.01            0.00      45.49       0.45  CCI5_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=0;
          93    1.35          613          1.01            0.00      45.49       0.45  CCI5_SignalMethod=29; MaxOrders=0; MaxOrdersPerType=0;
         100    1.78           30          1.21            0.06       7.50       0.07  CCI5_SignalMethod=36; MaxOrders=0; MaxOrdersPerType=0;
         116    1.78           30          1.21            0.06       7.50       0.07  CCI5_SignalMethod=52; MaxOrders=0; MaxOrdersPerType=0;
          35    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-29; MaxOrders=0; MaxOrdersPerType=0;
          38    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
          39    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
          40    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
          41    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
          42    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
          43    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
          44    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
          45    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
          46    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
          47    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
          50    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
          51    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
          54    0.00            0          0.00            0.00       0.00       0.00 CCI5_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
          55    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
          56    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
          57    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
          58    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
          59    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
          60    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
          61    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
          62    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
          63    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
          98    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=34; MaxOrders=0; MaxOrdersPerType=0;
          99    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=35; MaxOrders=0; MaxOrdersPerType=0;
         102    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=38; MaxOrders=0; MaxOrdersPerType=0;
         103    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=39; MaxOrders=0; MaxOrdersPerType=0;
         104    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=40; MaxOrders=0; MaxOrdersPerType=0;
         105    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=41; MaxOrders=0; MaxOrdersPerType=0;
         106    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=42; MaxOrders=0; MaxOrdersPerType=0;
         107    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=43; MaxOrders=0; MaxOrdersPerType=0;
         108    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=44; MaxOrders=0; MaxOrdersPerType=0;
         109    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=45; MaxOrders=0; MaxOrdersPerType=0;
         110    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=46; MaxOrders=0; MaxOrdersPerType=0;
         111    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=47; MaxOrders=0; MaxOrdersPerType=0;
         114    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=50; MaxOrders=0; MaxOrdersPerType=0;
         115    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=51; MaxOrders=0; MaxOrdersPerType=0;
         118    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=54; MaxOrders=0; MaxOrdersPerType=0;
         119    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=55; MaxOrders=0; MaxOrdersPerType=0;
         120    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=56; MaxOrders=0; MaxOrdersPerType=0;
         121    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=57; MaxOrders=0; MaxOrdersPerType=0;
         122    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=58; MaxOrders=0; MaxOrdersPerType=0;
         123    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=59; MaxOrders=0; MaxOrdersPerType=0;
         124    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=60; MaxOrders=0; MaxOrdersPerType=0;
         125    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=61; MaxOrders=0; MaxOrdersPerType=0;
         126    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=62; MaxOrders=0; MaxOrdersPerType=0;
         127    0.00            0          0.00            0.00       0.00       0.00  CCI5_SignalMethod=63; MaxOrders=0; MaxOrdersPerType=0;
          96    0.01           33          1.00            0.00       8.82       0.09  CCI5_SignalMethod=32; MaxOrders=0; MaxOrdersPerType=0;
         112    0.57           31          1.06            0.02       8.71       0.09  CCI5_SignalMethod=48; MaxOrders=0; MaxOrdersPerType=0;
          36   -1.89          172          0.96           -0.01      15.96       0.16 CCI5_SignalMethod=-28; MaxOrders=0; MaxOrdersPerType=0;
          70   -1.64          337          0.99           -0.00      36.87       0.37   CCI5_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=0;
          78   -1.64          337          0.99           -0.00      36.87       0.37  CCI5_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=0;
          52   -1.06          169          0.98           -0.01      15.68       0.16 CCI5_SignalMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
          67   -2.59          335          0.98           -0.01      37.88       0.38   CCI5_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=0;
          71   -2.59          335          0.98           -0.01      37.88       0.38   CCI5_SignalMethod=7; MaxOrders=0; MaxOrdersPerType=0;
          75   -2.59          335          0.98           -0.01      37.88       0.38  CCI5_SignalMethod=11; MaxOrders=0; MaxOrdersPerType=0;
          79   -2.59          335          0.98           -0.01      37.88       0.38  CCI5_SignalMethod=15; MaxOrders=0; MaxOrdersPerType=0;
          66   -2.30          338          0.98           -0.01      37.53       0.37   CCI5_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=0;
          74   -2.30          338          0.98           -0.01      37.53       0.37  CCI5_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=0;
          48   -3.66          173          0.93           -0.02      16.97       0.17 CCI5_SignalMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
          33   -3.03          160          0.94           -0.02      16.22       0.16 CCI5_SignalMethod=-31; MaxOrders=0; MaxOrdersPerType=0;
          37   -3.03          160          0.94           -0.02      16.22       0.16 CCI5_SignalMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
          49   -3.03          160          0.94           -0.02      16.22       0.16 CCI5_SignalMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
