


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       23 872.71         1352          1.41            0.65     262.33       2.61  CCI_TrailingProfitMethod=12; MaxOrders=0; MaxOrdersPerType=0;
       24 872.71         1352          1.41            0.65     262.33       2.61 CCI_TrailingProfitMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
       33 872.71         1352          1.41            0.65     262.33       2.61  CCI_TrailingProfitMethod=17; MaxOrders=0; MaxOrdersPerType=0;
       34 872.71         1352          1.41            0.65     262.33       2.61 CCI_TrailingProfitMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
       25 865.89         1352          1.41            0.64     247.48       2.46  CCI_TrailingProfitMethod=13; MaxOrders=0; MaxOrdersPerType=0;
       26 865.89         1352          1.41            0.64     247.48       2.46 CCI_TrailingProfitMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
       35 865.89         1352          1.41            0.64     247.48       2.46  CCI_TrailingProfitMethod=18; MaxOrders=0; MaxOrdersPerType=0;
       36 865.89         1352          1.41            0.64     247.48       2.46 CCI_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
       53 852.75         1352          1.40            0.63     231.86       2.30  CCI_TrailingProfitMethod=27; MaxOrders=0; MaxOrdersPerType=0;
       54 852.75         1352          1.40            0.63     231.86       2.30 CCI_TrailingProfitMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
       17 830.62         1352          1.41            0.61     270.84       2.70   CCI_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=0;
       18 798.45         1352          1.39            0.59     274.16       2.74  CCI_TrailingProfitMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
       41 741.33         1352          1.35            0.55     277.28       2.76  CCI_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=0;
       42 718.55         1352          1.34            0.53     277.42       2.76 CCI_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
       13 712.74         1352          1.33            0.53     331.86       3.30   CCI_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=0;
       14 708.05         1352          1.33            0.52     331.86       3.30  CCI_TrailingProfitMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
       15 672.23         1352          1.33            0.50     221.97       2.21   CCI_TrailingProfitMethod=8; MaxOrders=0; MaxOrdersPerType=0;
       16 649.14         1352          1.32            0.48     221.97       2.21  CCI_TrailingProfitMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
       47 642.68         1352          1.30            0.48     266.55       2.66  CCI_TrailingProfitMethod=24; MaxOrders=0; MaxOrdersPerType=0;
       48 640.54         1352          1.30            0.47     266.81       2.66 CCI_TrailingProfitMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
       11 565.48         1352          1.27            0.42     296.54       2.95   CCI_TrailingProfitMethod=6; MaxOrders=0; MaxOrdersPerType=0;
       12 559.28         1352          1.27            0.41     292.45       2.91  CCI_TrailingProfitMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
       45 530.30         1352          1.25            0.39     264.63       2.64  CCI_TrailingProfitMethod=23; MaxOrders=0; MaxOrdersPerType=0;
