


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.04.29 23:30 (2018.01.01 - 2018.04.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
   Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
     53   75.02          221          1.43            0.34      26.57       0.27  Fractals_TrailingStopMethod=27; MaxOrders=0; MaxOrdersPerType=0;
     54   56.46          225          1.33            0.25      26.82       0.27 Fractals_TrailingStopMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
      7   46.96          195          1.23            0.24      39.29       0.39   Fractals_TrailingStopMethod=4; MaxOrders=0; MaxOrdersPerType=0;
     28   35.82          343          1.18            0.10      44.20       0.44 Fractals_TrailingStopMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
     49   33.40          243          1.19            0.14      42.58       0.43  Fractals_TrailingStopMethod=25; MaxOrders=0; MaxOrdersPerType=0;
      8   28.71          197          1.14            0.15      51.69       0.52  Fractals_TrailingStopMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
     20   26.33          361          1.13            0.07      48.68       0.49 Fractals_TrailingStopMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
     44   26.59          192          1.14            0.14      53.35       0.53 Fractals_TrailingStopMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
     27   22.48          297          1.11            0.08      42.08       0.42  Fractals_TrailingStopMethod=14; MaxOrders=0; MaxOrdersPerType=0;
     38   20.83          424          1.10            0.05      57.06       0.57 Fractals_TrailingStopMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
      5   18.53          359          1.08            0.05      60.28       0.60   Fractals_TrailingStopMethod=3; MaxOrders=0; MaxOrdersPerType=0;
     40   18.91          204          1.10            0.09      52.12       0.52 Fractals_TrailingStopMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
     43   14.27          166          1.07            0.09      53.35       0.53  Fractals_TrailingStopMethod=22; MaxOrders=0; MaxOrdersPerType=0;
     37   14.49          364          1.07            0.04      54.15       0.54  Fractals_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=0;
     18   12.08          120          1.06            0.10      62.36       0.62  Fractals_TrailingStopMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
     13    9.84          120          1.05            0.08      62.36       0.62   Fractals_TrailingStopMethod=7; MaxOrders=0; MaxOrdersPerType=0;
