


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          67 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-71; MaxOrders=0; MaxOrdersPerType=0;
          66 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-108; MaxOrders=0; MaxOrdersPerType=0;
          65 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-32; MaxOrders=0; MaxOrdersPerType=0;
          64 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=113; MaxOrders=0; MaxOrdersPerType=0;
          63 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-103; MaxOrders=0; MaxOrdersPerType=0;
          62 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
          61 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-47; MaxOrders=0; MaxOrdersPerType=0;
          59 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=96; MaxOrders=0; MaxOrdersPerType=0;
          58 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-96; MaxOrders=0; MaxOrdersPerType=0;
          57 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
          56 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-102; MaxOrders=0; MaxOrdersPerType=0;
          55 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-100; MaxOrders=0; MaxOrdersPerType=0;
          52 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-113; MaxOrders=0; MaxOrdersPerType=0;
          51 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=40; MaxOrders=0; MaxOrdersPerType=0;
          50 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-97; MaxOrders=0; MaxOrdersPerType=0;
          49 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=70; MaxOrders=0; MaxOrdersPerType=0;
          48 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=37; MaxOrders=0; MaxOrdersPerType=0;
          47 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-78; MaxOrders=0; MaxOrdersPerType=0;
          46 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-57; MaxOrders=0; MaxOrdersPerType=0;
          45 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=108; MaxOrders=0; MaxOrdersPerType=0;
          44 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-46; MaxOrders=0; MaxOrdersPerType=0;
