


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
       Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         34 -188.53         2204          0.77           -0.09     194.20       1.94   MACD15_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=0;
         32 -224.71         2196          0.74           -0.10     228.92       2.29   MACD15_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=0;
         46 -226.41         2400          0.73           -0.09     232.32       2.32  MACD15_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=0;
         54 -226.41         2400          0.73           -0.09     232.32       2.32  MACD15_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
         62 -226.41         2400          0.73           -0.09     232.32       2.32  MACD15_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=0;
         40 -227.32         2193          0.72           -0.10     228.91       2.29   MACD15_SignalMethod=8; MaxOrders=0; MaxOrdersPerType=0;
         48 -227.32         2193          0.72           -0.10     228.91       2.29  MACD15_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=0;
         56 -227.32         2193          0.72           -0.10     228.91       2.29  MACD15_SignalMethod=24; MaxOrders=0; MaxOrdersPerType=0;
         44 -234.87         2299          0.72           -0.10     241.58       2.42  MACD15_SignalMethod=12; MaxOrders=0; MaxOrdersPerType=0;
         52 -234.87         2299          0.72           -0.10     241.58       2.42  MACD15_SignalMethod=20; MaxOrders=0; MaxOrdersPerType=0;
         60 -234.87         2299          0.72           -0.10     241.58       2.42  MACD15_SignalMethod=28; MaxOrders=0; MaxOrdersPerType=0;
         14 -236.05         2330          0.73           -0.10     273.54       2.74 MACD15_SignalMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
         22 -236.05         2330          0.73           -0.10     273.54       2.74 MACD15_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
         30 -236.05         2330          0.73           -0.10     273.54       2.74  MACD15_SignalMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
         42 -238.76         2203          0.71           -0.11     240.35       2.40  MACD15_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=0;
         50 -238.76         2203          0.71           -0.11     240.35       2.40  MACD15_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=0;
         58 -238.76         2203          0.71           -0.11     240.35       2.40  MACD15_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=0;
         36 -244.37         2388          0.71           -0.10     259.58       2.60   MACD15_SignalMethod=4; MaxOrders=0; MaxOrdersPerType=0;
