


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
    Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
      38  -341.55         5833          0.93           -0.06     779.48       7.61 MACD_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
      39  -354.38         5833          0.94           -0.06     818.68       8.04  MACD_TrailingProfitMethod=20; MaxOrders=0; MaxOrdersPerType=0;
       8  -369.15         5833          0.93           -0.06     610.37       6.04  MACD_TrailingProfitMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
       7  -409.41         5833          0.92           -0.07     647.77       6.41   MACD_TrailingProfitMethod=4; MaxOrders=0; MaxOrdersPerType=0;
      37  -442.81         5833          0.91           -0.08     789.73       7.76  MACD_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=0;
      30  -463.46         5833          0.93           -0.08     749.96       7.38 MACD_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
      51  -518.08         5833          0.87           -0.09     889.40       8.77  MACD_TrailingProfitMethod=26; MaxOrders=0; MaxOrdersPerType=0;
      45  -520.58         5833          0.95           -0.09    1186.21      11.39  MACD_TrailingProfitMethod=23; MaxOrders=0; MaxOrdersPerType=0;
       6  -527.09         5833          0.83           -0.09     631.48       6.28  MACD_TrailingProfitMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
      52  -540.89         5833          0.86           -0.09     889.40       8.77 MACD_TrailingProfitMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
       5  -545.96         5833          0.82           -0.09     647.31       6.43   MACD_TrailingProfitMethod=3; MaxOrders=0; MaxOrdersPerType=0;
      10  -546.58         5833          0.91           -0.09     801.83       7.91  MACD_TrailingProfitMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
      53  -568.46         5833          0.94           -0.10    1254.53      12.20  MACD_TrailingProfitMethod=27; MaxOrders=0; MaxOrdersPerType=0;
      31  -590.18         5833          0.91           -0.10     828.32       8.15  MACD_TrailingProfitMethod=16; MaxOrders=0; MaxOrdersPerType=0;
      40  -631.47         5833          0.88           -0.11     963.58       9.39 MACD_TrailingProfitMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
      29  -664.90         5833          0.89           -0.11     906.03       8.92  MACD_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
      47  -679.15         5833          0.93           -0.12    1375.27      13.19  MACD_TrailingProfitMethod=24; MaxOrders=0; MaxOrdersPerType=0;
       3  -685.70         5833          0.75           -0.12     764.14       7.61   MACD_TrailingProfitMethod=2; MaxOrders=0; MaxOrdersPerType=0;
       4  -686.79         5833          0.75           -0.12     764.64       7.62  MACD_TrailingProfitMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
      46  -691.63         5833          0.93           -0.12    1248.61      12.10 MACD_TrailingProfitMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
      35  -720.10         5833          0.93           -0.12    1356.50      13.12  MACD_TrailingProfitMethod=18; MaxOrders=0; MaxOrdersPerType=0;
       9  -732.31         5833          0.89           -0.13     908.36       8.97   MACD_TrailingProfitMethod=5; MaxOrders=0; MaxOrdersPerType=0;
      22  -751.61         5833          0.88           -0.13     989.75       9.74 MACD_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
      27  -774.44         5833          0.87           -0.13     925.56       9.14  MACD_TrailingProfitMethod=14; MaxOrders=0; MaxOrdersPerType=0;
      21  -808.85         5833          0.87           -0.14    1061.08      10.44  MACD_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
