


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          86 -218.74         2846          0.74           -0.08     271.96       2.72  RSI5_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
          37 -219.88         2814          0.73           -0.08     259.10       2.59 RSI5_SignalMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
          39 -219.88         2814          0.73           -0.08     259.10       2.59 RSI5_SignalMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
          53 -219.88         2814          0.73           -0.08     259.10       2.59 RSI5_SignalMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
          55 -219.88         2814          0.73           -0.08     259.10       2.59  RSI5_SignalMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
           3 -220.04         2692          0.75           -0.08     236.75       2.37 RSI5_SignalMethod=-61; MaxOrders=0; MaxOrdersPerType=0;
          70 -223.20         2849          0.74           -0.08     274.98       2.75   RSI5_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=0;
           2 -225.74         2698          0.74           -0.08     242.45       2.42 RSI5_SignalMethod=-62; MaxOrders=0; MaxOrdersPerType=0;
           1 -228.07         2638          0.74           -0.09     230.62       2.31 RSI5_SignalMethod=-63; MaxOrders=0; MaxOrdersPerType=0;
          36 -239.69         2850          0.71           -0.08     278.91       2.79 RSI5_SignalMethod=-28; MaxOrders=0; MaxOrdersPerType=0;
          38 -239.69         2850          0.71           -0.08     278.91       2.79 RSI5_SignalMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
          52 -239.69         2850          0.71           -0.08     278.91       2.79 RSI5_SignalMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
          54 -239.69         2850          0.71           -0.08     278.91       2.79 RSI5_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
          16 -252.92         2769          0.71           -0.09     269.63       2.70 RSI5_SignalMethod=-48; MaxOrders=0; MaxOrdersPerType=0;
          18 -252.90         2768          0.71           -0.09     269.61       2.70 RSI5_SignalMethod=-46; MaxOrders=0; MaxOrdersPerType=0;
          64 -255.70         2784          0.71           -0.09     273.46       2.73   RSI5_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=0;
          81 -256.50         2922          0.70           -0.09     298.76       2.99  RSI5_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=0;
          83 -256.50         2922          0.70           -0.09     298.76       2.99  RSI5_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
          49 -258.62         2911          0.70           -0.09     276.47       2.76 RSI5_SignalMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
          51 -258.62         2911          0.70           -0.09     276.47       2.76 RSI5_SignalMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
          85 -259.03         2893          0.69           -0.09     313.14       3.13  RSI5_SignalMethod=21; MaxOrders=0; MaxOrdersPerType=0;
          87 -259.03         2893          0.69           -0.09     313.14       3.13  RSI5_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=0;
          40 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
          41 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
          42 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
          43 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
          44 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
          45 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
          46 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
          47 -260.97         2914          0.67           -0.09     292.82       2.93 RSI5_SignalMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
          56 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
          57 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
          58 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
          59 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
          60 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
          61 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
          62 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
          63 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
         104 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=40; MaxOrders=0; MaxOrdersPerType=0;
         105 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=41; MaxOrders=0; MaxOrdersPerType=0;
         106 -260.97         2914          0.67           -0.09     292.82       2.93  RSI5_SignalMethod=42; MaxOrders=0; MaxOrdersPerType=0;
