


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        43   89.96          187          1.25            0.48     195.50       1.95  RSI_TrailingStopMethod=24; MaxOrders=0; MaxOrdersPerType=0;
        44   89.96          187          1.25            0.48     195.50       1.95 RSI_TrailingStopMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
        41   83.64          187          1.23            0.45     195.50       1.95  RSI_TrailingStopMethod=23; MaxOrders=0; MaxOrdersPerType=0;
        42   83.64          187          1.23            0.45     195.50       1.95 RSI_TrailingStopMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
        19   82.68          187          1.24            0.44     190.09       1.89  RSI_TrailingStopMethod=12; MaxOrders=0; MaxOrdersPerType=0;
        20   82.68          187          1.24            0.44     190.09       1.89 RSI_TrailingStopMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
        29   82.68          187          1.24            0.44     190.09       1.89  RSI_TrailingStopMethod=17; MaxOrders=0; MaxOrdersPerType=0;
        30   82.68          187          1.24            0.44     190.09       1.89 RSI_TrailingStopMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
        21   82.73          187          1.24            0.44     189.97       1.89  RSI_TrailingStopMethod=13; MaxOrders=0; MaxOrdersPerType=0;
        22   82.73          187          1.24            0.44     189.97       1.89 RSI_TrailingStopMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
        31   82.73          187          1.24            0.44     189.97       1.89  RSI_TrailingStopMethod=18; MaxOrders=0; MaxOrdersPerType=0;
        32   82.73          187          1.24            0.44     189.97       1.89 RSI_TrailingStopMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
         1   81.01          187          1.23            0.43     189.90       1.89   RSI_TrailingStopMethod=1; MaxOrders=0; MaxOrdersPerType=0;
         2   81.01          187          1.23            0.43     189.90       1.89  RSI_TrailingStopMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
        37   76.46          187          1.22            0.41     190.83       1.90  RSI_TrailingStopMethod=21; MaxOrders=0; MaxOrdersPerType=0;
        38   76.46          187          1.22            0.41     190.83       1.90 RSI_TrailingStopMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
        35   72.37          187          1.49            0.39     117.87       1.18  RSI_TrailingStopMethod=20; MaxOrders=0; MaxOrdersPerType=0;
        36   71.78          187          1.48            0.38     117.87       1.18 RSI_TrailingStopMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
        11   65.10          187          1.18            0.35     195.50       1.95   RSI_TrailingStopMethod=7; MaxOrders=0; MaxOrdersPerType=0;
        12   65.10          187          1.18            0.35     195.50       1.95  RSI_TrailingStopMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
        33   28.72          187          1.24            0.15     101.66       1.01  RSI_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=0;
        34   27.49          187          1.22            0.15     101.66       1.01 RSI_TrailingStopMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
        50   16.04          187          1.11            0.09      64.85       0.65 RSI_TrailingStopMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
         8   12.58          187          1.10            0.07      85.18       0.85  RSI_TrailingStopMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
