


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          56 -130.86         2358          0.86           -0.06     147.88       1.48  WPR30_SignalMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
          60 -130.86         2358          0.86           -0.06     147.88       1.48  WPR30_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
          44 -138.28         2381          0.86           -0.06     148.41       1.48 WPR30_SignalMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
          40 -146.68         2391          0.85           -0.06     156.14       1.56 WPR30_SignalMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
          41 -149.86         2398          0.85           -0.06     164.68       1.65 WPR30_SignalMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
          45 -149.86         2398          0.85           -0.06     164.68       1.65 WPR30_SignalMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
          57 -151.95         2371          0.84           -0.06     168.51       1.69  WPR30_SignalMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
          61 -151.95         2371          0.84           -0.06     168.51       1.69  WPR30_SignalMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
          74 -154.79         2473          0.83           -0.06     214.27       2.13  WPR30_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=0;
          70 -161.50         2459          0.81           -0.07     203.14       2.03   WPR30_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=0;
          78 -161.50         2459          0.81           -0.07     203.14       2.03  WPR30_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=0;
          76 -174.87         2482          0.81           -0.07     209.33       2.09  WPR30_SignalMethod=12; MaxOrders=0; MaxOrdersPerType=0;
          72 -178.94         2486          0.81           -0.07     212.82       2.12   WPR30_SignalMethod=8; MaxOrders=0; MaxOrdersPerType=0;
          16 -183.93         2560          0.82           -0.07     218.24       2.18 WPR30_SignalMethod=-48; MaxOrders=0; MaxOrdersPerType=0;
           4 -185.33         2485          0.82           -0.07     212.74       2.13 WPR30_SignalMethod=-60; MaxOrders=0; MaxOrdersPerType=0;
          20 -186.96         2561          0.82           -0.07     221.27       2.21 WPR30_SignalMethod=-44; MaxOrders=0; MaxOrdersPerType=0;
          17 -187.84         2528          0.81           -0.07     196.44       1.96 WPR30_SignalMethod=-47; MaxOrders=0; MaxOrdersPerType=0;
          21 -187.84         2528          0.81           -0.07     196.44       1.96 WPR30_SignalMethod=-43; MaxOrders=0; MaxOrdersPerType=0;
          33 -187.11         2313          0.81           -0.08     190.29       1.90 WPR30_SignalMethod=-31; MaxOrders=0; MaxOrdersPerType=0;
          37 -187.11         2313          0.81           -0.08     190.29       1.90 WPR30_SignalMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
