


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        54   96.15         1109          1.11            0.09     149.92       1.50 WPR_TrailingStopMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
        53   90.60         1109          1.11            0.08     150.00       1.50  WPR_TrailingStopMethod=27; MaxOrders=0; MaxOrdersPerType=0;
        13   66.09         1109          1.07            0.06     168.22       1.68   WPR_TrailingStopMethod=7; MaxOrders=0; MaxOrdersPerType=0;
        14   66.32         1109          1.07            0.06     167.99       1.68  WPR_TrailingStopMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
        41   64.08         1109          1.07            0.06     170.27       1.70  WPR_TrailingStopMethod=21; MaxOrders=0; MaxOrdersPerType=0;
        42   64.08         1109          1.07            0.06     170.27       1.70 WPR_TrailingStopMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
        25   63.09         1109          1.07            0.06     170.30       1.70  WPR_TrailingStopMethod=13; MaxOrders=0; MaxOrdersPerType=0;
        26   63.09         1109          1.07            0.06     170.30       1.70 WPR_TrailingStopMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
        35   63.09         1109          1.07            0.06     170.30       1.70  WPR_TrailingStopMethod=18; MaxOrders=0; MaxOrdersPerType=0;
        36   63.09         1109          1.07            0.06     170.30       1.70 WPR_TrailingStopMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
        23   63.22         1109          1.07            0.06     170.30       1.70  WPR_TrailingStopMethod=12; MaxOrders=0; MaxOrdersPerType=0;
        24   63.22         1109          1.07            0.06     170.30       1.70 WPR_TrailingStopMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
        33   63.32         1109          1.07            0.06     170.30       1.70  WPR_TrailingStopMethod=17; MaxOrders=0; MaxOrdersPerType=0;
        34   63.32         1109          1.07            0.06     170.30       1.70 WPR_TrailingStopMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
        45   62.56         1109          1.07            0.06     168.88       1.68  WPR_TrailingStopMethod=23; MaxOrders=0; MaxOrdersPerType=0;
        46   62.56         1109          1.07            0.06     168.88       1.68 WPR_TrailingStopMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
        47   62.61         1109          1.07            0.06     168.83       1.68  WPR_TrailingStopMethod=24; MaxOrders=0; MaxOrdersPerType=0;
        48   62.61         1109          1.07            0.06     168.83       1.68 WPR_TrailingStopMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
         1   58.20         1109          1.06            0.05     176.33       1.76   WPR_TrailingStopMethod=1; MaxOrders=0; MaxOrdersPerType=0;
         2   58.20         1109          1.06            0.05     176.33       1.76  WPR_TrailingStopMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
        15   39.47         1109          1.04            0.04     179.77       1.80   WPR_TrailingStopMethod=8; MaxOrders=0; MaxOrdersPerType=0;
        16   38.37         1109          1.04            0.03     178.29       1.78  WPR_TrailingStopMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
        51  -27.87         1109          0.90           -0.03      59.87       0.60  WPR_TrailingStopMethod=26; MaxOrders=0; MaxOrdersPerType=0;
        10  -42.30         1109          0.94           -0.04     131.22       1.31  WPR_TrailingStopMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
        18  -46.98         1109          0.84           -0.04      64.88       0.65  WPR_TrailingStopMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
        12  -50.83         1109          0.94           -0.05     202.75       2.02  WPR_TrailingStopMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
        11  -50.60         1109          0.94           -0.05     201.83       2.01   WPR_TrailingStopMethod=6; MaxOrders=0; MaxOrdersPerType=0;
        52  -71.32         1109          0.71           -0.06      85.41       0.85 WPR_TrailingStopMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
        49  -86.76         1109          0.79           -0.08      95.83       0.96  WPR_TrailingStopMethod=25; MaxOrders=0; MaxOrdersPerType=0;
        50  -93.07         1109          0.75           -0.08     108.35       1.08 WPR_TrailingStopMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
